Brand,Model,KM Driven,Km/L,Range (Electric),Gear,Price,GPS,Trailer Hitch,4WD,Parkingsensor,Cruise Control,Antispin,ESP,El-Sæder,Leather Interior,Glass Roof,Headup Display,Isofix,Klimaanlæg,Regnsensor,Soltag,Sports Package,Seatwarmer,Xenon Lights,Non-Smoker,One-Owner,Service OK,Nysynet,Demo Car,Partly Leather Interior,CVR/Engros,Full Leather,Adaptive Cruise Control,Link,Year,Fuel_Type,Horsepower
Opel,Combo-e,39000.0,16.0,250.0,Automatgear,219900.0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4771533-brugt-opel-combo-e-life-50-elegance-l2,2020,El,136.0
Opel,Vivaro-e,100000.0,16.0,230.0,Automatgear,314900.0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,https://www.autouncle.dk/da/d/4217962-brugt-opel-vivaro-e-combi-l3v1-el-enjoy-136hk-van-trinl-gear,2020,El,136.0
Peugeot,e-208,9700.0,16.0,340.0,Automatgear,189900.0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,https://www.autouncle.dk/da/d/4665768-brugt-peugeot-e-208-el-gt-pack-136hk-5d-6g-aut,2020,El,136.0
Peugeot,e-208,10.0,17.0,351.0,Automatgear,239900.0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,https://www.autouncle.dk/da/d/4699700-ny-peugeot-e-208-50-gt-sky,2020,El,136.0
Peugeot,e-2008,28000.0,16.0,340.0,Automatgear,189900.0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4767977-brugt-peugeot-e-2008-2008gt,2020,El,136.0
Peugeot,e-208,13000.0,17.0,351.0,Automatgear,239900.0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,https://www.autouncle.dk/da/d/4708824-brugt-peugeot-e-208-50-gt-sky,2020,El,136.0
Peugeot,e-2008,6500.0,17.0,403.0,Automatgear,299900.0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4792996-brugt-peugeot-e-2008-54-gt-first-edition,2020,El,156.0
Peugeot,e-308,3000.0,17.0,410.0,Automatgear,299900.0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,https://www.autouncle.dk/da/d/4787063-brugt-peugeot-e-308-54-first-edition,2020,El,156.0
Peugeot,e-308,1500.0,17.0,410.0,Automatgear,299000.0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,https://www.autouncle.dk/da/d/4770877-ny-peugeot-e-308-el-first-edition-156hk-5d-aut,2020,El,156.0
Polestar,2,29000.0,17.0,551.0,Automatgear,289900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4806079-brugt-polestar-2-long-range,2022,El,231.0
